id,organism,fasta_file,title,description,is_shown
81,65,/usr/local/i5k/media/blast/db/Clitarchus_hookeri_Maker_annotations_pep.fa,Clitarchus_hookeri_Maker_annotations_pep.fa,"Clitarchus hookeri Maker annotations, proteins",True
54,13,/usr/local/i5k/media/blast/db/DTAK.faa,DTAK.faa,Drosophila takahashii Maker proteins v0.5.3 (BCM),True
75,5,/usr/local/i5k/media/blast/db/Dcitr_OGSv1.0_pep.fa,Dcitr_OGSv1.0_pep.fa,"Diaphorina citri OGSv1.0, proteins",True
28,5,/usr/local/i5k/media/blast/db/Diacit_refseq_protein.fa,Diacit_refseq_protein.fa,Diacit_RefSeq_proteins_Release_100,True
6,52,/usr/local/i5k/media/blast/db/Dufourea_novaeangliae_v1.1_mapped-to-RefSeq_peptide.faa,Dufourea_novaeangliae_v1.1_mapped-to-RefSeq_peptide.faa,"Dufourea novaeangliae v1.1, peptide sequences",True
52,15,/usr/local/i5k/media/blast/db/EAFF_new_ids.faa,EAFF_new_ids.faa,Eurytemora affinis Maker proteins v0.5.3 (BCM),True
74,61,/usr/local/i5k/media/blast/db/Edil_v1.0_peptide.fa,Edil_v1.0_peptide.fa,"Euglossa dilemma v1.0, proteins",True
41,26,/usr/local/i5k/media/blast/db/GBUE_new_ids.faa,GBUE_new_ids.faa,Gerris buenoi Maker proteins v0.5.3 (BCM),True
16,48,/usr/local/i5k/media/blast/db/GCA_001263275.1_ASM126327v1_protein.faa,GCA_001263275.1_ASM126327v1_protein.faa,"Habropoda laboriosa - ASM126327v1 GenBank Annotations, proteins",True
14,53,/usr/local/i5k/media/blast/db/GCA_001276565.1_ASM127656v1_protein.faa,GCA_001276565.1_ASM127656v1_protein.faa,Melipona quadrifasciata GLEAN predicted proteins,True
85,13,/usr/local/i5k/media/blast/db/GCF_000224235.1_Dtak_2.0_protein.faa,GCF_000224235.1_Dtak_2.0_protein.faa,"Drosophila takahashii Annotation Release 101 (GCF_000224235.1), proteins",True
105,1,/usr/local/i5k/media/blast/db/GCF_000390285.2_Agla_2.0_translated_cds.faa,GCF_000390285.2_Agla_2.0_translated_cds.faa,"NCBI Anoplophora glabripennis Annotation Release 101, translated CDS",True
107,4,/usr/local/i5k/media/blast/db/GCF_000648675.2_Clec_2.1_translated_cds.faa,GCF_000648675.2_Clec_2.1_translated_cds.faa,"Cimex lectularius NCBI annotation release 101, peptide",True
67,58,/usr/local/i5k/media/blast/db/GCF_001412225.1_Nicve_v1.0_protein.faa,GCF_001412225.1_Nicve_v1.0_protein.faa,"Nicrophorus vespilloides Annotation Release 100 (GCF_001412225.1), proteins",True
66,56,/usr/local/i5k/media/blast/db/GCF_001412515.1_Dall1.0_protein.faa,GCF_001412515.1_Dall1.0_protein.faa,"Diachasma alloeum Annotation Release 100 (GCF_001412515.1), proteins",True
126,56,/usr/local/i5k/media/blast/db/GCF_001412515.2_Dall2.0_translated_cds-idupdate.faa,GCF_001412515.2_Dall2.0_translated_cds-idupdate.faa,"Diachasma alloeum NCBI Annotation Release 101, translated CDS",True
65,55,/usr/local/i5k/media/blast/db/GCF_001687245.1_Rhagoletis_zephyria_1.0_protein.faa,GCF_001687245.1_Rhagoletis_zephyria_1.0_protein.faa,"Rhagoletis zephyria Annotation Release 100 (GCF_001687245.1), proteins",True
76,62,/usr/local/i5k/media/blast/db/GCF_001854935.1_ASM185493v1_protein.faa,GCF_001854935.1_ASM185493v1_protein.faa,"Bemisia tabaci Annotation Release 100 (GCF_001854935.1), proteins",True
112,74,/usr/local/i5k/media/blast/db/GCF_003013835.1_Dvir_v2.0_translated_cds.faa,GCF_003013835.1_Dvir_v2.0_translated_cds.faa,"Diabrotica virgifera Annotation Release 100 (GCF_003013835.1), translated CDS predicted from genomic sequence",True
121,79,/usr/local/i5k/media/blast/db/GCF_009176525.2_AAFC_CNas_1.1_translated_cds-idupdate.faa,GCF_009176525.2_AAFC_CNas_1.1_translated_cds-idupdate.faa,"Contarinia nasturtii NCBI Annotation Release 100, translated CDS",True
125,81,/usr/local/i5k/media/blast/db/GCF_010583005.1_Obru_v1_cds_from_genomic-idupdate.fna,GCF_010583005.1_Obru_v1_cds_from_genomic-idupdate.fna,"Osmia lignaria NCBI Annotation Release 100, translated CDS",True
124,80,/usr/local/i5k/media/blast/db/GCF_010583005.1_Obru_v1_translated_cds-idupdate.faa,GCF_010583005.1_Obru_v1_translated_cds-idupdate.faa,"Odontomachus brunneus NCBI Annotation Release 100, translated CDS",True
127,83,/usr/local/i5k/media/blast/db/GCF_013357705.1_ASM1335770v1_translated_cds-idupdate.faa,GCF_013357705.1_ASM1335770v1_translated_cds-idupdate.faa,"Chelonus insularis NCBI Annotation Release 100, translated CDS",True
131,34,/usr/local/i5k/media/blast/db/GCF_014839805.1_JHU_Msex_v1.0_translated_cds-idupdate.faa,GCF_014839805.1_JHU_Msex_v1.0_translated_cds-idupdate.faa,"Manduca sexta NCBI Annotation release 102, translated CDS",True
162,110,/usr/local/i5k/media/blast/db/GCF_023864275.1_iqSchCanc2.1_protein.faa,GCF_023864275.1_iqSchCanc2.1_protein.faa,GCF_023864275.1_iqSchCanc2.1_protein.faa,True
40,27,/usr/local/i5k/media/blast/db/HVIT_new_ids.faa,HVIT_new_ids.faa,Homalodisca vitripennis Maker proteins v0.5.3 (BCM),True
90,66,/usr/local/i5k/media/blast/db/Holacanthella_duospinosa_annotation_1.0_pep.fa,Holacanthella_duospinosa_annotation_1.0_pep.fa,"Holacanthella duospinosa annotations Holacanthella_duospinosa_annotation v1.0, proteins",True
49,18,/usr/local/i5k/media/blast/db/LDEC_new_ids.faa,LDEC_new_ids.faa,Leptinotarsa decemlineata Maker proteins v0.5.3 (BCM),True
39,28,/usr/local/i5k/media/blast/db/LHES_new_ids.faa,LHES_new_ids.faa,Latrodectus hesperus Maker proteins v0.5.3 (BCM),True
