id,organism,type,fasta_file,title,description,is_shown
710,76,3,/usr/local/i5k/media/blast/db/nylful_OGSv1.1_pep.fa,nylful_OGSv1.1_pep.fa,"Nylanderia fulva nylful_OGSv1.1, translated CDS",True
709,76,2,/usr/local/i5k/media/blast/db/nylful_OGSv1.1_trans.fa,nylful_OGSv1.1_trans.fa,"Nylanderia fulva nylful_OGSv1.1, transcripts",True
227,19,2,/usr/local/i5k/media/blast/db/oncfas_OGSv1.2_original_cds.fa,oncfas_OGSv1.2_original_cds.fa,"Oncopeltus fasciatus OGSv1.2, CDS",True
228,19,3,/usr/local/i5k/media/blast/db/oncfas_OGSv1.2_original_peptide.fa,oncfas_OGSv1.2_original_peptide.fa,"Oncopeltus fasciatus OGSv1.2, peptides",True
226,19,2,/usr/local/i5k/media/blast/db/oncfas_OGSv1.2_original_transcript.fa,oncfas_OGSv1.2_original_transcript.fa,Oncopeltus fasciatus OGSv1.2 transcripts,True
752,20,2,/usr/local/i5k/media/blast/db/oruabi_OGSv1.2_cds.fa,oruabi_OGSv1.2_cds.fa,"Orussus abietinus oruabi OGSv1.2, CDS",True
751,20,3,/usr/local/i5k/media/blast/db/oruabi_OGSv1.2_pep.fa,oruabi_OGSv1.2_pep.fa,"Orussus abietinus oruabi OGSv1.2, translated CDS",True
750,20,2,/usr/local/i5k/media/blast/db/oruabi_OGSv1.2_trans.fa,oruabi_OGSv1.2_trans.fa,"Orussus abietinus oruabi OGSv1.2, transcripts",True
733,125,2,/usr/local/i5k/media/blast/db/permai_annotations_v2023_cds.fa,permai_annotations_v2023_cds.fa,"Peregrinus maidis annotations v2023, CDS",True
732,125,3,/usr/local/i5k/media/blast/db/permai_annotations_v2023_pep.fa,permai_annotations_v2023_pep.fa,"Peregrinus maidis annotations v2023, translated CDS",True
731,125,2,/usr/local/i5k/media/blast/db/permai_annotations_v2023_trans.fa,permai_annotations_v2023_trans.fa,"Peregrinus maidis annotations v2023, transcripts",True
804,32,2,/usr/local/i5k/media/blast/db/tigcal_OGSv1.1_cds.fa,tigcal_OGSv1.1_cds.fa,"Tigriopus californicus OGSv1.1, CDS",True
802,32,3,/usr/local/i5k/media/blast/db/tigcal_OGSv1.1_pep.fa,tigcal_OGSv1.1_pep.fa,"Tigriopus californicus OGSv1.1, translated CDS",True
800,32,2,/usr/local/i5k/media/blast/db/tigcal_OGSv1.1_trans.fa,tigcal_OGSv1.1_trans.fa,"Tigriopus californicus OGSv1.1, transcripts",True
852,54,2,/usr/local/i5k/media/blast/db/tricas_OGSv3.1_cds.fa,tricas_OGSv3.1_cds.fa,"Tribolium castaneum OGSv3.1, CDS",True
851,54,3,/usr/local/i5k/media/blast/db/tricas_OGSv3.1_pep.fa,tricas_OGSv3.1_pep.fa,"Tribolium castaneum OGSv3.1, translated CDS",True
850,54,2,/usr/local/i5k/media/blast/db/tricas_OGSv3.1_trans.fa,tricas_OGSv3.1_trans.fa,"Tribolium castaneum OGSv3.1, transcripts",True
